%   l    n    nu(microHz)   sigma(microHz)
   l    n    nu            sigma

    0   10   1548.4178      0.0172
    0   15   2228.7522      0.0650
    0   16   2362.8103      0.0750
    0   18   2629.6743      0.0452
    0   19   2764.1831      0.0459
    0   20   2898.7971      0.0323
    0   22   3168.7883      0.0900
    0   24   3438.7495      0.0885
    1   10   1612.6473      0.0092
    1   11   1749.2601      0.0227
    1   12   1885.0856      0.0149
    1   13   2020.8364      0.0201
    1   14   2156.8291      0.0161
    1   15   2291.9856      0.0217
    1   16   2425.6953      0.0425
    1   17   2559.1230      0.0400
    1   18   2693.4053      0.0216
    1   19   2828.0454      0.0248
    1   20   2963.4138      0.0226
    1   21   3098.1458      0.0538
    1   22   3233.3203      0.0369
    1   23   3368.6084      0.0708
    1   24   3503.8564      0.0996
    1   25   3640.2898      0.1433
    2    9   1535.8453      0.0041
    2   10   1674.6239      0.0115
    2   11   1810.2708      0.0057
    2   12   1945.8484      0.0071
    2   13   2082.1228      0.0145
    2   14   2217.6179      0.0233
    2   15   2352.2588      0.0252
    2   16   2485.9563      0.0352
    2   17   2619.6956      0.0389
    2   18   2754.4509      0.0267
    2   19   2889.5449      0.0248
    2   20   3024.7036      0.0226
    2   21   3159.8718      0.0281
    2   22   3295.1140      0.0456
    2   23   3430.5349      0.0565
    2   24   3566.4434      0.1036
    2   25   3703.1304      0.1222
    2   26   3840.0828      0.1502
    2   27   3977.3062      0.2010
    2   28   4114.0132      0.2225
    2   29   4251.2061      0.2098
    3    9   1591.5083      0.0021
    3   10   1729.0942      0.0056
    3   11   1865.3177      0.0012
    3   12   2001.1807      0.0133
    3   13   2137.7375      0.0096
    3   14   2273.3967      0.0134
    3   15   2407.6294      0.0161
    3   16   2541.6458      0.0178
    3   17   2676.1216      0.0134
    3   18   2811.3855      0.0251
    3   19   2947.0801      0.0162
    3   20   3082.1992      0.0269
    3   21   3217.7231      0.0192
    3   22   3353.4553      0.0361
    3   23   3489.5054      0.0612
    3   24   3625.7639      0.0738
    3   25   3762.5955      0.0972
    3   26   3899.6807      0.1258
    3   27   4036.8093      0.1549
    3   28   4175.1880      0.2325
    3   29   4312.4048      0.3315
    4    8   1500.3081      0.0029
    4    9   1640.9607      0.0050
    4   10   1777.9962      0.0034
    4   11   1914.7646      0.0080
    4   12   2051.7202      0.0080
    4   13   2188.3638      0.0098
    4   14   2324.1655      0.0146
    4   15   2458.5876      0.0225
    4   16   2593.0051      0.0285
    4   17   2728.2810      0.0185
    4   18   2864.2329      0.0213
    4   19   3000.0679      0.0149
    4   20   3135.8669      0.0268
    4   21   3271.6274      0.0361
    4   22   3407.9834      0.0497
    4   23   3544.4312      0.0560
    4   24   3681.4463      0.0757
    4   25   3818.8889      0.0966
    4   26   3956.3079      0.1215
    4   27   4093.9033      0.1667
    4   28   4231.2300      0.2228
    4   29   4371.0464      0.2666
    5    7   1401.6488      0.0045
    5    8   1545.2535      0.0065
    5    9   1685.8517      0.0021
    5   10   1823.3948      0.0031
    5   11   1960.5457      0.0080
    5   12   2098.4326      0.0108
    5   13   2235.4001      0.0135
    5   14   2371.1599      0.0155
    5   15   2506.0708      0.0103
    5   16   2641.1704      0.0250
    5   17   2777.3447      0.0155
    5   18   2913.7170      0.0130
    5   19   3049.8853      0.0132
    5   20   3186.2200      0.0213
    5   21   3322.5232      0.0287
    5   22   3459.3254      0.0486
    5   23   3596.5049      0.0550
    5   24   3733.7205      0.0663
    5   25   3871.8567      0.0859
    5   26   4009.7551      0.1082
    5   27   4147.5483      0.1195
    5   28   4286.2778      0.1949
    5   29   4424.3892      0.2563
    6    7   1443.7487      0.0043
    6    8   1587.4867      0.0021
    6    9   1727.7683      0.0026
    6   10   1866.1674      0.0093
    6   11   2004.1946      0.0046
    6   12   2142.5515      0.0098
    6   13   2279.8735      0.0159
    6   14   2415.5747      0.0113
    6   15   2551.0593      0.0135
    6   16   2687.0183      0.0179
    6   17   2823.7378      0.0145
    6   18   2960.6316      0.0152
    6   19   3097.2390      0.0212
    6   20   3233.9492      0.0234
    6   21   3370.8179      0.0382
    6   22   3508.1787      0.0496
    6   23   3645.8997      0.0631
    6   24   3783.7180      0.0683
    6   25   3922.1169      0.0764
    6   26   4060.6958      0.1181
    6   27   4198.9492      0.1730
    6   28   4338.0889      0.1935
    6   29   4476.5239      0.2548
    7    7   1483.4004      0.0040
    7    8   1627.5190      0.0021
    7    9   1767.6364      0.0037
    7   10   1906.8351      0.0073
    7   11   2045.9401      0.0055
    7   12   2184.5217      0.0112
    7   13   2322.2161      0.0186
    7   14   2458.1775      0.0143
    7   15   2594.2859      0.0180
    7   16   2731.1208      0.0170
    7   17   2868.2942      0.0091
    7   18   3005.5798      0.0109
    7   19   3142.7476      0.0140
    7   20   3279.7576      0.0230
    7   21   3417.4358      0.0300
    7   22   3555.2302      0.0480
    7   23   3693.5747      0.0533
    7   24   3832.0107      0.0721
    7   25   3970.3816      0.0880
    7   26   4109.5708      0.1122
    7   27   4248.3486      0.1556
    7   28   4387.3018      0.2224
    7   29   4526.8955      0.3464
    8    7   1521.2336      0.0026
    8    8   1665.7524      0.0017
    8    9   1806.1930      0.0036
    8   10   1946.0933      0.0031
    8   11   2086.1052      0.0141
    8   12   2225.1863      0.0106
    8   13   2362.9204      0.0163
    8   14   2499.4304      0.0180
    8   15   2636.1643      0.0155
    8   16   2773.7639      0.0190
    8   17   2911.5188      0.0099
    8   18   3049.0830      0.0183
    8   19   3186.7234      0.0214
    8   20   3324.3137      0.0257
    8   21   3462.3940      0.0318
    8   22   3600.8599      0.0487
    8   23   3739.4399      0.0658
    8   24   3878.2556      0.0823
    8   25   4017.1348      0.1077
    8   26   4156.5454      0.1152
    8   27   4295.8198      0.1960
    8   28   4435.0435      0.2195
    8   29   4575.5415      0.3127
    9    5   1254.3853      0.0117
    9    6   1408.4479      0.0037
    9    7   1557.6541      0.0023
    9    8   1702.4164      0.0038
    9    9   1843.6726      0.0027
    9   10   1984.2234      0.0068
    9   11   2125.1648      0.0134
    9   12   2264.5522      0.0119
    9   13   2402.3743      0.0119
    9   14   2539.5884      0.0184
    9   15   2677.0139      0.0181
    9   16   2815.1665      0.0120
    9   17   2953.5266      0.0114
    9   18   3091.3992      0.0107
    9   19   3229.5034      0.0134
    9   20   3367.7722      0.0272
    9   21   3506.1213      0.0369
    9   22   3645.4495      0.0543
    9   23   3784.1106      0.0677
    9   24   3923.2715      0.0726
    9   25   4062.8289      0.1063
    9   26   4202.1509      0.1410
    9   27   4341.6445      0.2130
    9   28   4481.7725      0.2772
    9   29   4622.4771      0.3756
   10    5   1288.0288      0.0112
   10    7   1592.9142      0.0008
   10    8   1737.8361      0.0046
   10    9   1880.0563      0.0041
   10   10   2021.5087      0.0055
   10   11   2162.9673      0.0066
   10   12   2302.8567      0.0115
   10   13   2440.8691      0.0126
   10   14   2578.5999      0.0111
   10   15   2716.9736      0.0111
   10   16   2855.6855      0.0127
   10   17   2994.4507      0.0110
   10   18   3132.9070      0.0190
   10   19   3271.2524      0.0216
   10   20   3409.9854      0.0235
   10   21   3549.0867      0.0412
   10   22   3688.6096      0.0501
   10   23   3828.1748      0.0663
   10   24   3967.5718      0.0925
   10   25   4107.6357      0.0951
   10   26   4247.3901      0.1613
   10   27   4387.1143      0.2131
   10   28   4527.5791      0.3137
   10   29   4667.6523      0.4623
   11    5   1320.5146      0.0047
   11    6   1477.1772      0.0017
   11    7   1627.0972      0.0033
   11    8   1772.2299      0.0033
   11    9   1915.4449      0.0068
   11   10   2058.0007      0.0114
   11   11   2199.8455      0.0101
   11   12   2340.0747      0.0126
   11   13   2478.4939      0.0129
   11   14   2616.8835      0.0202
   11   15   2756.0559      0.0144
   11   16   2895.3611      0.0079
   11   17   3034.4839      0.0127
   11   18   3173.3765      0.0155
   11   19   3312.2688      0.0179
   11   20   3451.5891      0.0255
   11   21   3590.9165      0.0433
   11   22   3730.8054      0.0518
   11   23   3870.8679      0.0623
   11   24   4011.1411      0.0844
   11   25   4151.0933      0.1079
   11   26   4291.6572      0.1602
   11   27   4432.0884      0.2398
   11   28   4573.3857      0.3187
   11   29   4713.2490      0.4221
   12    6   1509.7245      0.0016
   12    7   1660.2812      0.0024
   12    8   1805.8041      0.0036
   12    9   1949.9817      0.0050
   12   10   2093.6299      0.0057
   12   11   2235.8818      0.0113
   12   12   2376.3743      0.0096
   12   13   2515.4780      0.0118
   12   14   2654.5166      0.0087
   12   15   2794.4797      0.0068
   12   16   2934.3286      0.0122
   12   17   3073.7656      0.0133
   12   18   3213.1838      0.0100
   12   19   3352.5996      0.0230
   12   20   3492.2959      0.0354
   12   21   3632.3313      0.0347
   12   22   3772.7202      0.0556
   12   23   3913.0679      0.0601
   12   24   4053.7102      0.1040
   12   25   4194.1431      0.1176
   12   26   4335.1948      0.1663
   12   27   4476.0215      0.2326
   12   28   4616.9253      0.3640
   12   29   4756.8511      0.6438
   13    4   1215.3065      0.0083
   13    6   1541.1390      0.0020
   13    7   1692.3846      0.0025
   13    8   1838.6770      0.0021
   13    9   1983.8458      0.0089
   13   10   2128.5647      0.0069
   13   11   2271.1980      0.0121
   13   12   2411.9011      0.0119
   13   13   2551.6680      0.0110
   13   14   2691.6572      0.0107
   13   15   2832.1567      0.0087
   13   16   2972.5696      0.0120
   13   17   3112.4336      0.0103
   13   18   3252.2520      0.0174
   13   19   3392.3040      0.0231
   13   20   3532.4297      0.0384
   13   21   3673.0999      0.0455
   13   22   3813.6519      0.0553
   13   23   3954.3262      0.0729
   13   24   4094.9438      0.0987
   13   25   4236.5220      0.1340
   13   26   4377.5283      0.2062
   13   27   4518.7988      0.2971
   13   28   4661.0396      0.4264
   13   29   4802.0176      0.7538
   14    4   1242.5204      0.0111
   14    5   1411.7207      0.0037
   14    6   1571.5763      0.0025
   14    7   1723.5231      0.0023
   14    8   1870.8513      0.0043
   14    9   2017.0627      0.0068
   14   10   2162.5422      0.0080
   14   11   2305.7083      0.0092
   14   12   2446.7212      0.0074
   14   13   2587.3450      0.0099
   14   14   2728.1548      0.0093
   14   15   2869.2227      0.0123
   14   16   3010.0796      0.0107
   14   17   3150.5286      0.0128
   14   18   3290.8142      0.0146
   14   19   3431.3596      0.0216
   14   20   3572.0852      0.0333
   14   21   3713.0874      0.0482
   14   22   3854.0901      0.0529
   14   23   3995.1499      0.0708
   14   24   4136.4985      0.1002
   14   25   4278.3286      0.1406
   14   26   4419.6294      0.2362
   14   27   4561.5830      0.3387
   14   28   4703.4502      0.5400
   14   29   4844.4595      0.5997
   15    3   1086.3947      0.1636
   15    5   1440.0367      0.0018
   15    6   1601.0220      0.0021
   15    7   1753.8114      0.0029
   15    8   1902.4056      0.0042
   15    9   2049.6414      0.0063
   15   10   2195.8760      0.0068
   15   11   2339.5398      0.0138
   15   12   2481.0566      0.0148
   15   13   2622.3242      0.0120
   15   14   2764.1360      0.0083
   15   15   2905.7249      0.0115
   15   16   3047.0303      0.0107
   15   17   3187.9937      0.0135
   15   18   3328.7922      0.0150
   15   19   3469.8770      0.0301
   15   20   3611.1558      0.0346
   15   21   3752.4028      0.0434
   15   22   3894.1094      0.0488
   15   23   4035.7322      0.0797
   15   24   4177.4614      0.1064
   15   25   4319.1851      0.1552
   15   26   4460.5762      0.2490
   15   27   4602.8208      0.3151
   15   28   4746.0132      0.4486
   15   29   4887.6099      1.2976
   16    6   1629.5312      0.0025
   16    7   1783.2467      0.0039
   16    8   1933.1749      0.0041
   16    9   2081.6526      0.0099
   16   10   2228.4814      0.0078
   16   11   2372.6304      0.0107
   16   12   2514.7837      0.0121
   16   13   2656.9746      0.0136
   16   14   2799.4729      0.0100
   16   15   2941.7515      0.0100
   16   16   3083.4863      0.0081
   16   17   3224.9382      0.0158
   16   18   3366.2954      0.0248
   16   19   3507.9148      0.0333
   16   20   3649.8594      0.0419
   16   21   3791.4722      0.0434
   16   22   3933.3894      0.0598
   16   23   4075.3845      0.0869
   16   24   4217.6724      0.1178
   16   25   4360.1533      0.1872
   16   26   4502.5552      0.2740
   16   27   4644.5835      0.3322
   16   28   4787.2441      0.8346
   17    3   1130.9733      0.0221
   17    5   1493.5165      0.0021
   17    6   1657.0574      0.0018
   17    7   1811.9908      0.0029
   17    8   1963.3431      0.0052
   17    9   2112.9978      0.0048
   17   10   2260.3477      0.0093
   17   11   2405.0671      0.0163
   17   12   2548.0623      0.0090
   17   13   2691.0391      0.0154
   17   14   2834.3052      0.0095
   17   15   2977.1760      0.0102
   17   16   3119.2969      0.0098
   17   17   3261.3794      0.0161
   17   18   3403.4043      0.0218
   17   19   3545.5620      0.0298
   17   20   3687.7534      0.0389
   17   21   3829.8955      0.0558
   17   22   3972.2390      0.0654
   17   23   4115.0068      0.0920
   17   24   4257.2393      0.1334
   17   25   4399.5688      0.2117
   17   26   4542.3794      0.3071
   17   27   4685.0347      0.4285
   17   28   4828.2554      0.8328
   18    5   1518.7416      0.0014
   18    6   1683.6489      0.0029
   18    7   1839.9762      0.0039
   18    8   1992.8655      0.0059
   18    9   2143.7478      0.0075
   18   10   2291.6064      0.0091
   18   11   2436.8057      0.0112
   18   12   2580.8462      0.0100
   18   13   2724.6494      0.0123
   18   14   2868.6531      0.0108
   18   15   3012.0842      0.0064
   18   16   3154.7981      0.0125
   18   17   3297.3201      0.0146
   18   18   3439.9194      0.0232
   18   19   3582.6194      0.0316
   18   20   3725.3257      0.0391
   18   21   3868.1133      0.0471
   18   22   4010.8398      0.0749
   18   23   4153.5542      0.1090
   18   24   4296.7861      0.1422
   18   25   4439.3809      0.2394
   18   26   4582.5542      0.4192
   18   27   4725.6396      0.6255
   19    3   1173.2876      0.1222
   19    4   1364.3302      0.0017
   19    5   1543.0438      0.0018
   19    6   1709.3745      0.0030
   19    7   1867.3199      0.0041
   19    8   2021.7672      0.0066
   19    9   2173.8091      0.0114
   19   10   2322.3235      0.0072
   19   11   2468.1309      0.0105
   19   12   2612.9839      0.0110
   19   13   2757.9045      0.0075
   19   14   2902.4949      0.0089
   19   15   3046.4785      0.0094
   19   16   3189.7593      0.0126
   19   17   3332.8086      0.0190
   19   18   3476.1594      0.0239
   19   19   3619.3828      0.0345
   19   20   3762.5947      0.0414
   19   21   3905.7695      0.0543
   19   22   4049.1028      0.0673
   19   23   4192.5122      0.1054
   19   24   4335.3608      0.1668
   19   25   4479.0874      0.2805
   19   26   4622.0864      0.3901
   19   27   4766.5908      0.6447
   19   28   4908.6694      0.9229
   20    3   1193.6396      0.0092
   20    4   1386.4905      0.0042
   20    5   1566.5479      0.0023
   20    6   1734.2048      0.0027
   20    7   1893.9104      0.0045
   20    8   2050.0854      0.0083
   20    9   2203.1816      0.0088
   20   10   2352.4331      0.0090
   20   11   2498.9812      0.0128
   20   12   2644.8738      0.0100
   20   13   2790.6897      0.0095
   20   14   2935.8850      0.0072
   20   15   3080.3984      0.0095
   20   16   3224.3347      0.0110
   20   17   3367.9736      0.0193
   20   18   3511.7805      0.0260
   20   19   3655.5376      0.0351
   20   20   3799.2158      0.0396
   20   21   3942.9836      0.0667
   20   22   4086.6460      0.0879
   20   23   4230.3110      0.1170
   20   24   4373.8691      0.1670
   20   25   4517.7139      0.3291
   20   26   4661.8472      0.5732
   20   27   4804.4766      0.9783
   20   28   4948.7915      1.7313
   21    4   1408.0692      0.0019
   21    5   1589.2860      0.0015
   21    6   1758.2465      0.0026
   21    7   1919.8483      0.0043
   21    8   2077.7720      0.0056
